market_key,snapshot_file,snapshot_date,listings,avg_price,median_price,p25_price,p75_price,avg_sqm,avg_price_per_sqm
narvik_no,narvik_no_2026-04-27.csv,2026-04-27,0,,,,,,
tromso_no,tromso_no_2026-04-27.csv,2026-04-27,2,14750,14750.0,,,40,368
