snapshot_date,market_key,finn_id,title,url,price_nok,sqm,bedrooms,price_per_sqm,address,postal_code,city,area,address_key
2026-03-02,tromso_no,402216829,"Rom i bofellesskap nær UiT, Breivika",https://www.finn.no/realestate/lettings/ad.html?finnkode=402216829,6750,10,,675,,,,,
2026-03-02,tromso_no,445881832,Nyere moderne hus med 2 soverom med 5 liggeplasser i sentrum,https://www.finn.no/realestate/lettings/ad.html?finnkode=445881832,44000,78,2,564,,,,,
2026-03-02,tromso_no,452809271,Stor og innbydende enebolig i Kroken-Sør,https://www.finn.no/realestate/lettings/ad.html?finnkode=452809271,9022,220,,41,,,,,
2026-03-02,tromso_no,452995956,"Rom i bofellesskap, Balders Veg 1, Tromsø",https://www.finn.no/realestate/lettings/ad.html?finnkode=452995956,6950,12,,579,,,,,
2026-03-02,tromso_no,452999533,4-roms i toppetasje - Tromsøya,https://www.finn.no/realestate/lettings/ad.html?finnkode=452999533,8500,65,3,131,,,,,
