snapshot_date,market_key,finn_id,title,url,price_nok,sqm,bedrooms,price_per_sqm,address,postal_code,city,area,address_key
2025-08-28,narvik_no,257423786,Leilighet til leie m/2.soverom- innflyttingsklar fra 1. September  2025,https://www.finn.no/realestate/lettings/ad.html?finnkode=257423786,24000,70,2,343,,,,,
2025-08-28,narvik_no,410830174,Rom i bofelleskap. ALT INKLUDERT!,https://www.finn.no/realestate/lettings/ad.html?finnkode=410830174,6000,107,,56,,,,,
2025-08-28,narvik_no,423818703,Toppleilighet nær Sentrum,https://www.finn.no/realestate/lettings/ad.html?finnkode=423818703,6000,136,5,44,,,,,
2025-08-28,narvik_no,424197196,Fin og romslig 2-roms leilighet til leie i Tiurveien,https://www.finn.no/realestate/lettings/ad.html?finnkode=424197196,12000,46,,261,,,,,
