snapshot_date,market_key,finn_id,title,url,price_nok,sqm,bedrooms,price_per_sqm,address,postal_code,city,area,address_key
2026-03-30,tromso_no,395478133,hybel leies ut korttid fra 15/5 til 7/6,https://www.finn.no/realestate/lettings/ad.html?finnkode=395478133,6500,15,,433,,,,,
2026-03-30,tromso_no,455738393,Leilighet på Bjerkaker,https://www.finn.no/realestate/lettings/ad.html?finnkode=455738393,20000,42,2,476,,,,,
2026-03-30,tromso_no,264251733,"Leilighet, 4 roms",https://www.finn.no/realestate/lettings/ad.html?finnkode=264251733,9022,75,3,120,,,,,
2026-03-30,tromso_no,452809271,Stor og innbydende enebolig i Kroken-Sør,https://www.finn.no/realestate/lettings/ad.html?finnkode=452809271,45000,220,,205,,,,,
