market_key,snapshot_file,snapshot_date,listings,avg_price,median_price,p25_price,p75_price,avg_sqm,avg_price_per_sqm
narvik_no,narvik_no_2026-07-06.csv,2026-07-06,0,,,,,,
tromso_no,tromso_no_2026-07-06.csv,2026-07-06,7,28360,23000,9022.0,43000.0,72,506
