snapshot_date,market_key,finn_id,title,url,price_nok,sqm,bedrooms,price_per_sqm,address,postal_code,city,area,address_key
2026-07-13,tromso_no,468466904,3 roms leilighet ved sjøen,https://www.finn.no/realestate/lettings/ad.html?finnkode=468466904,9022,80,,113,,,,,
2026-07-13,tromso_no,469149675,Lys og romslig 3-roms leilighet med garasje på attraktive Alfheim,https://www.finn.no/realestate/lettings/ad.html?finnkode=469149675,66000,67,,985,,,,,
2026-07-13,tromso_no,417230399,Lys og moderne leilighet med havutsikt på Tomasjordnes,https://www.finn.no/realestate/lettings/ad.html?finnkode=417230399,17000,43,,395,,,,,
2026-07-13,tromso_no,445783849,1 rom ledig fra 01.09 i bokollektiv nær UiT/UNN,https://www.finn.no/realestate/lettings/ad.html?finnkode=445783849,7500,10,,750,,,,,
2026-07-13,tromso_no,461756812,Rom i bofelleskap / Firmabolig / Familiebolig / enebolig nær UiT og UNN – ledig 01.08,https://www.finn.no/realestate/lettings/ad.html?finnkode=461756812,43000,200,4,215,,,,,
2026-07-13,tromso_no,466640823,Lys og praktisk 3-roms leilighet til leie fra august,https://www.finn.no/realestate/lettings/ad.html?finnkode=466640823,23000,53,2,434,,,,,
2026-07-13,tromso_no,467954556,Bolig med tre soverom i Tromsø sentrum,https://www.finn.no/realestate/lettings/ad.html?finnkode=467954556,65000,77,3,844,,,,,
