snapshot_date,market_key,finn_id,title,url,price_nok,sqm,bedrooms,price_per_sqm,address,postal_code,city,area,address_key
2026-05-11,tromso_no,461756812,Enebolig til leie i nærheten av UNN og UiT,https://www.finn.no/realestate/lettings/ad.html?finnkode=461756812,42000,200,4,210,,,,,
2026-05-11,tromso_no,462368880,"Furnished student room – Tromsø (May–August, short-term)",https://www.finn.no/realestate/lettings/ad.html?finnkode=462368880,6000,13,,462,,,,,
2026-05-11,tromso_no,462902069,Sentrumsnær 3-roms leilighet med utsikt |Fullt møblert | Langtidsleie,https://www.finn.no/realestate/lettings/ad.html?finnkode=462902069,23500,72,,326,,,,,
