snapshot_date,market_key,finn_id,title,url,price_nok,sqm,bedrooms,price_per_sqm,address,postal_code,city,area,address_key
2026-04-13,tromso_no,458148760,Moderne og sentrumsnær hybelleilighet leies ut,https://www.finn.no/realestate/lettings/ad.html?finnkode=458148760,14000,40,,350,,,,,
2026-04-13,tromso_no,455738393,Leilighet på Bjerkaker,https://www.finn.no/realestate/lettings/ad.html?finnkode=455738393,20000,42,2,476,,,,,
2026-04-13,tromso_no,395478133,hybel leies ut korttid fra 15/5 til 7/6,https://www.finn.no/realestate/lettings/ad.html?finnkode=395478133,6500,15,,433,,,,,
